,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
0,The Batman,2022,8.1,72.0,404780,,176
1,K.G.F: Chapter 2,2022,9.1,,77913,,168
2,Spider-Man: No Way Home,2021,8.4,71.0,603901,,148
3,Dune,2021,8.1,74.0,552978,,155
4,CODA,2021,8.0,74.0,102073,,111
5,RRR,2022,8.4,87.0,59316,,187
6,K.G.F: Chapter 1,2018,8.3,,70302,,156
7,The Dark Knight,2008,9.0,84.0,2546783,534.86,152
8,The Ten Commandments,1956,7.9,,69883,93.74,220
9,The Shawshank Redemption,1994,9.3,81.0,2578291,28.34,142
10,Once Upon a Time... In Hollywood,2019,7.6,83.0,684775,142.5,161
11,Harry Potter and the Sorcerer's Stone,2001,7.6,65.0,750068,317.58,152
12,American Psycho,2000,7.6,64.0,563649,15.07,102
13,The Godfather,1972,9.2,100.0,1775165,134.97,175
14,Avengers: Endgame,2019,8.4,78.0,1043010,858.37,181
15,Joker,2019,8.4,59.0,1183081,335.45,122
16,Titanic,1997,7.9,75.0,1131128,659.33,194
17,The Worst Person in the World,2021,7.9,90.0,39118,,128
18,Interstellar,2014,8.6,74.0,1722534,188.02,169
19,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63.0,1075760,305.41,143
20,The Wolf of Wall Street,2013,8.2,75.0,1336083,116.9,180
21,The Goonies,1985,7.7,62.0,264427,61.5,114
22,Batman Begins,2005,8.2,70.0,1422695,206.85,140
23,Knives Out,2019,7.9,82.0,586728,165.36,130
24,Zack Snyder's Justice League,2021,8.0,54.0,374343,,242
25,The Dark Knight Rises,2012,8.4,78.0,1647663,448.14,164
26,Inception,2010,8.8,74.0,2262974,292.58,148
27,Blade Runner 2049,2017,8.0,81.0,537815,92.05,164
28,Stand by Me,1986,8.1,75.0,392370,52.29,89
29,The Gentlemen,2019,7.8,51.0,310888,,113
30,Prisoners,2013,8.1,70.0,677163,61.0,153
31,Pulp Fiction,1994,8.9,94.0,1978386,107.93,154
32,Thor: Ragnarok,2017,7.9,74.0,693384,315.06,130
33,Fight Club,1999,8.8,66.0,2029438,37.03,139
34,Pride & Prejudice,2005,7.8,82.0,286804,38.41,129
35,Drive My Car,2021,7.6,91.0,36843,,179
36,The Lion King,1994,8.5,88.0,1021145,422.78,88
37,Parasite,2019,8.5,96.0,738061,53.37,132
38,Jojo Rabbit,2019,7.9,58.0,366353,0.35,108
39,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1794329,315.54,178
40,Se7en,1995,8.6,65.0,1581730,100.13,127
41,Whiplash,2014,8.5,88.0,805315,13.09,106
42,Spider-Man: Into the Spider-Verse,2018,8.4,87.0,486049,190.24,117
43,Inglourious Basterds,2009,8.3,69.0,1390197,120.54,153
44,Taxi Driver,1976,8.3,94.0,794023,28.26,114
45,Avatar,2009,7.8,83.0,1189369,760.51,162
46,Avengers: Infinity War,2018,8.4,68.0,1006671,678.82,149
47,Jurassic Park,1993,8.2,68.0,942875,402.45,127
48,The Green Mile,1999,8.6,61.0,1253810,136.8,189
49,The Imitation Game,2014,8.0,71.0,746735,91.13,114
50,Forrest Gump,1994,8.8,82.0,1989080,330.25,142
51,Schindler's List,1993,9.0,94.0,1312988,96.9,195
52,Django Unchained,2012,8.4,81.0,1490550,162.81,165
53,Requiem for a Dream,2000,8.3,68.0,819132,3.64,102
54,Mad Max: Fury Road,2015,8.1,90.0,966294,154.06,120
55,Apocalypse Now,1979,8.5,94.0,649505,83.47,147
56,Back to the Future,1985,8.5,87.0,1157280,210.61,116
57,Harry Potter and the Goblet of Fire,2005,7.7,81.0,605876,290.01,157
58,Goodfellas,1990,8.7,90.0,1112375,46.84,145
59,Guardians of the Galaxy,2014,8.0,76.0,1136320,333.18,121
60,Ben-Hur,1959,8.1,90.0,235056,74.7,212
61,Star Wars,1977,8.6,90.0,1318541,322.74,121
62,Little Women,2019,7.8,91.0,190109,108.1,135
63,Ex Machina,2014,7.7,78.0,524727,25.44,108
64,Saving Private Ryan,1998,8.6,91.0,1342899,216.54,169
65,Gladiator,2000,8.5,67.0,1450124,187.71,155
66,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,843218,381.01,130
67,Dunkirk,2017,7.8,94.0,629972,188.37,106
68,Léon: The Professional,1994,8.5,64.0,1123713,19.5,110
69,No Country for Old Men,2007,8.2,92.0,938891,74.28,122
70,Heat,1995,8.3,76.0,632316,67.44,170
71,Gone Girl,2014,8.1,79.0,948583,167.77,149
